PMCID	Abbreviations	Abstract	Acknowledgments	Article	Author Contributions	Case study	Competing Interests	Conclusion	Discussion	Figure	Introduction	Methods	References	Results	Supplementary material	Table	Title	
PMC4717998	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	
PMC5379922	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	
PMC4376187	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	
PMC3608608	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	
PMC4284752	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	
PMC2241891	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	
PMC3738513	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	
PMC2438278	0	0	0	0	0	0	0	0	0	0	0	4	0	14	0	0	0	
PMC3925676	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
PMC5881997	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	
PMC4944165	0	5	0	0	0	0	0	1	12	0	0	24	0	28	0	0	2	
PMC5124321	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	
PMC2848867	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	
PMC5996041	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	
PMC3374835	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
PMC4856438	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	
PMC4332508	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	
PMC6150043	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	
PMC2175143	0	0	0	0	0	0	0	0	0	4	0	0	0	2	0	0	0	
PMC6004713	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	
PMC5442460	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	
PMC5019203	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	
PMC6265925	0	0	0	0	0	0	0	0	0	2	0	5	0	1	0	0	0	
PMC5015974	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	
PMC4737067	0	0	0	0	0	0	0	0	0	0	0	3	0	3	0	0	0	
PMC5081191	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	
PMC6281998	0	0	1	0	0	0	0	0	0	0	0	2	0	2	0	0	0	
PMC6443994	0	0	0	0	0	0	0	0	0	0	0	3	0	3	0	0	0	
PMC6207626	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	
PMC2764081	0	0	0	0	0	0	0	0	0	0	0	3	0	4	0	0	0	
PMC5299488	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	
PMC5991121	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	
PMC5433077	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	
PMC3025550	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	
PMC4491346	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	
PMC5801723	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	
PMC6480937	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	
PMC5874688	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
PMC2643479	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	
