f1-score	Precision	Recall	Accuracy	Loss	f1-scoreCV	PrecisionCV	RecallCV	AccuracyCV	LossCV	Combination	Token	Lemma	Stem	Time
54.245	61.331	67.839	49.211	0.798	55.059	61.574	59.295	66.4	0.714	CompleteCitation	True	False	False	130.773
61.833	69.551	58.918	80.526	0.52	63.474	66.938	65.695	74.9	0.641	lemma_citation	False	True	False	159.419
58.347	79.121	52.959	80.263	0.558	52.282	66.382	53.858	73.8	0.675	stem_citation	False	False	True	182.199
