f1-score	Precision	Recall	Accuracy	Loss	f1-scoreCV	PrecisionCV	RecallCV	AccuracyCV	LossCV	Combination	Token	Lemma	Stem	Time
74.706	80.194	71.738	85.789	0.438	80.007	85.551	77.239	88.3	0.326	CompleteCitation	True	False	False	251.782
74.028	75.755	73.206	84.737	0.414	81.335	85.553	78.989	88.5	0.343	lemma_citation	False	True	False	312.587
76.713	80.136	74.766	86.316	0.397	79.408	84.929	77.178	88.1	0.346	stem_citation	False	False	True	332.712
