f1-score,Precision,Recall,Accuracy,Loss,f1-scoreCV,PrecisionCV,RecallCV,AccuracyCV,LossCV,Method,Combination,Token,Ngram,Lemma,Stem,Embedding,Time (sec),
67.972,83.575,64.474,85.263,,70.469,88.893,66.187,84.822,,ComplementNB,"['N-gram', 'Lemmatization']",False,True,True,False,False,15.343,
66.301,80.118,61.93,83.684,,67.671,85.259,61.985,82.542,,GaussianNB,"['N-gram', 'Lemmatization']",False,True,True,False,False,25.255,
64.805,89.161,59.985,84.211,,61.105,87.031,56.823,80.964,,MultinomialNB,"['N-gram', 'Lemmatization']",False,True,True,False,False,15.334,
60.781,78.966,61.219,83.947,,69.513,90.503,66.517,85.349,,Random-Forest,"['N-gram', 'Lemmatization']",False,True,True,False,False,75.53,
73.466,80.729,70.529,86.053,,81.732,88.206,78.247,88.946,,SVM,"['N-gram', 'Lemmatization']",False,True,True,False,False,81.158,
77.379,82.991,74.64,87.895,,82.855,88.076,79.563,89.208,,Logistic-Regression,"['N-gram', 'Stemming']",False,True,False,True,False,596.208,
67.972,83.575,64.474,85.263,,70.19,88.809,65.82,84.647,,ComplementNB,"['N-gram', 'Stemming']",False,True,False,True,False,18.203,
66.639,80.907,62.049,83.947,,66.728,84.088,61.271,82.104,,GaussianNB,"['N-gram', 'Stemming']",False,True,False,True,False,28.358,
64.31,89.054,59.379,83.947,,60.726,86.467,56.415,80.699,,MultinomialNB,"['N-gram', 'Stemming']",False,True,False,True,False,18.096,
62.421,89.451,63.036,84.474,,68.896,90.82,66.708,85.525,,Random-Forest,"['N-gram', 'Stemming']",False,True,False,True,False,75.668,
73.594,79.904,71.015,86.053,,82.461,89.125,78.82,89.297,,SVM,"['N-gram', 'Stemming']",False,True,False,True,False,82.644,
74.389,77.627,72.959,85.263,0.415,78.899,86.115,75.782,88,0.345,CNN,['Tokenization'],True,False,False,False,True,92.475,100
70.709,74.496,69.334,83.421,0.423,80.779,84.805,78.872,88.3,0.334,CNN,['Lemmatization'],False,False,True,False,True,98.025,100
75.11,78.537,72.71,85.526,0.392,78.895,85.454,76.121,87.9,0.348,CNN,['Stemming'],False,False,False,True,True,121.342,100
74.706,80.194,71.738,85.789,0.438,80.007,85.551,77.239,88.3,0.326,CNN,['Tokenization'],True,False,False,False,True,251.782,200
74.028,75.755,73.206,84.737,0.414,81.335,85.553,78.989,88.5,0.343,CNN,['Lemmatization'],False,False,True,False,True,312.587,200
76.713,80.136,74.766,86.316,0.397,79.408,84.929,77.178,88.1,0.346,CNN,['Stemming'],False,False,False,True,True,332.712,200
73.233,81.689,70.897,86.053,0.46,79.753,86.837,76.767,88.7,0.357,CNN,['Tokenization'],True,False,False,False,True,343.609,300
68.754,73.382,66.913,83.421,0.442,81.145,88.584,77.664,89,0.373,CNN,['Lemmatization'],False,False,True,False,True,353.485,300
75.143,81.318,72.831,86.053,0.424,79.47,87.527,76.55,88.6,0.371,CNN,['Stemming'],False,False,False,True,True,346.467,300
56.64,66.516,53.344,78.158,0.685,60.63,67.381,58.491,76.6,0.659,Embedding,['Tokenization'],True,False,False,False,True,122.58,100
64.015,68.998,62.679,80.526,0.672,60.823,68.52,59.293,77.2,0.702,Embedding,['Lemmatization'],False,False,True,False,True,126.887,100
53.201,63.232,51.29,77.632,0.746,58.174,63.901,56.887,74.6,0.698,Embedding,['Stemming'],False,False,False,True,True,133.401,100
60.576,67.452,61.487,78.684,0.731,61.171,68.333,59.362,77.2,0.662,Embedding,['Tokenization'],True,False,False,False,True,153.762,200
63.91,71.107,59.997,80.526,0.671,59.901,68.814,58.399,76.4,0.75,Embedding,['Lemmatization'],False,False,True,False,True,159.381,200
55.019,62.606,51.654,76.316,0.786,59.38,75.161,55.496,78.1,0.741,Embedding,['Stemming'],False,False,False,True,True,167.973,200
54.613,61.543,53.236,77.632,0.769,59.166,69.755,56.036,77.7,0.732,Embedding,['Tokenization'],True,False,False,False,True,213.226,300
63.22,67.723,60.981,80,0.71,61.52,69.994,59.671,77.1,0.73,Embedding,['Lemmatization'],False,False,True,False,True,217.955,300
53.344,64.464,52.743,79.211,0.815,55.873,67.325,53.247,76.3,0.756,Embedding,['Stemming'],False,False,False,True,True,224.973,300
62.964,66.276,65.983,78.158,0.564,69.227,74.788,70.728,79.6,0.528,LSTM,['Tokenization'],True,False,False,False,True,147.966,100
65.101,64.249,67.312,78.158,0.556,60.354,69.716,65.702,69.3,0.741,LSTM,['Lemmatization'],False,False,True,False,True,173.015,100
60.09,59.096,70.424,63.684,0.741,64.159,67.15,66.802,74.9,0.661,LSTM,['Stemming'],False,False,False,True,True,189.855,100
62.247,60.694,64.297,73.947,0.621,65.388,68.674,68.833,73.8,0.599,LSTM,['Tokenization'],True,False,False,False,True,196.101,200
64.393,70.388,62.8,81.053,0.512,68.978,75.561,66.901,81.2,0.529,LSTM,['Lemmatization'],False,False,True,False,True,215.098,200
59.137,56.38,64.829,69.474,0.766,69.483,69.581,72.107,78.6,0.631,LSTM,['Stemming'],False,False,False,True,True,234.179,200
66.655,65.067,68.642,78.421,0.562,66.099,71.781,67.323,78.2,0.544,LSTM,['Tokenization'],True,False,False,False,True,413.87,300
59.863,59.127,64.924,73.158,0.641,65.425,69.738,69.004,75.5,0.576,LSTM,['Lemmatization'],False,False,True,False,True,433.732,300
58.54,65.381,64.171,79.211,0.7,66.194,75.577,67.31,79.8,0.541,LSTM,['Stemming'],False,False,False,True,True,456.571,300
