f1-score	Precision	Recall	Accuracy	Loss	f1-scoreCV	PrecisionCV	RecallCV	AccuracyCV	LossCV	Combination	Token	Lemma	Stem	Time
54.613	61.543	53.236	77.632	0.769	59.166	69.755	56.036	77.7	0.732	CompleteCitation	True	False	False	213.226
63.22	67.723	60.981	80.0	0.71	61.52	69.994	59.671	77.10000000000001	0.73	lemma_citation	False	True	False	217.955
53.344	64.464	52.743	79.211	0.815	55.873	67.325	53.247	76.3	0.756	stem_citation	False	False	True	224.973
