f1-score	Precision	Recall	Accuracy	Loss	f1-scoreCV	PrecisionCV	RecallCV	AccuracyCV	LossCV	Combination	Token	Lemma	Stem	Time
74.389	77.627	72.959	85.263	0.415	78.899	86.115	75.782	88.0	0.345	CompleteCitation	True	False	False	92.475
70.709	74.496	69.334	83.421	0.423	80.779	84.805	78.872	88.3	0.334	lemma_citation	False	True	False	98.025
75.11	78.537	72.71	85.526	0.392	78.895	85.454	76.121	87.9	0.348	stem_citation	False	False	True	121.342
