f1-score	Precision	Recall	Accuracy	f1-scoreCV	PrecisionCV	RecallCV	AccuracyCV	Method	Combination	Token	Ngram	Lemma	Stem	Time
73.992	77.231	71.986	85.526	81.3124940980575	85.23556688935174	78.67292907186327	88.15505226179799	SVM	['Tokenization']	True	False	False	False	5.671
73.504	80.127	71.503	86.316	82.11949684407801	87.52883561622143	79.23234779325298	89.03532963206797	SVM	['N-gram']	False	True	False	False	9.239
74.207	76.589	72.591	85.263	81.85145423826876	86.31720692913822	78.97584682965507	88.68106134043866	SVM	['Lemmatization']	False	False	True	False	9.834
73.66	75.685	72.353	85.0	82.21668594657137	86.20730812091243	79.43452909638134	88.59241974975852	SVM	['Stemming']	False	False	False	True	8.688
73.466	80.729	70.529	86.053	81.732037267273	88.20554612580449	78.24702078453916	88.94607461972176	SVM	['N-gram', 'Lemmatization']	False	True	True	False	13.255
73.594	79.904	71.015	86.053	82.13460937848274	88.6898442415408	78.55354017521697	89.12120434544453	SVM	['N-gram', 'Stemming']	False	True	False	True	17.202
