f1-score	Precision	Recall	Accuracy	Loss	f1-scoreCV	PrecisionCV	RecallCV	AccuracyCV	LossCV	Combination	Token	Lemma	Stem	Time
66.655	65.067	68.642	78.421	0.562	66.099	71.781	67.323	78.2	0.544	CompleteCitation	True	False	False	413.87
59.863	59.127	64.924	73.158	0.641	65.425	69.738	69.004	75.5	0.576	lemma_citation	False	True	False	433.732
58.54	65.381	64.171	79.211	0.7	66.194	75.577	67.31	79.80000000000001	0.541	stem_citation	False	False	True	456.571
