f1-score	Precision	Recall	Accuracy	Cross-score	Loss	Combination	Token	Ngram	Lemma	Stem	Time
74.157	75.72	74.352	78.305	82.637	0.654	['Tokenization']	True	False	False	False	389.564
70.529	73.208	72.72	83.051	82.648	0.839	['N-gram']	False	True	False	False	2803.225
70.13	76.482	69.269	78.644	80.115	0.793	['Lemmatization']	False	False	True	False	367.72
72.594	75.733	72.269	78.305	80.788	0.654	['Stemming']	False	False	False	True	345.829
80.484	77.539	86.117	79.322	81.628	0.628	['N-gram', 'Lemmatization']	False	True	True	False	3107.12
69.936	92.001	71.31	83.39	83.404	0.807	['N-gram', 'Stemming']	False	True	False	True	3264.645
