f1-score	Precision	Recall	Accuracy	Loss	Combination	Token	Ngram	Lemma	Stem	Time
72.93299999999999	79.9225	72.15775000000001	83.293	0.575	['Tokenization']	True	False	False	False	199.746
74.44175	81.996	71.92349999999999	85.004	0.566	['N-gram']	False	True	False	False	1478.921
69.576	76.3195	69.113	80.598	0.623	['Lemmatization']	False	False	True	False	182.688
70.32775	77.32499999999999	68.51775	83.028	0.555	['Stemming']	False	False	False	True	168.179
72.99975	83.17575	70.205	85.203	0.534	['N-gram', 'Lemmatization']	False	True	True	False	1649.548
74.45725	84.64075	70.84275	85.662	0.58	['N-gram', 'Stemming']	False	True	False	True	1629.145
