f1-score	Precision	Recall	Accuracy	Cross-score	Loss	Combination	Token	Ngram	Lemma	Stem	Time
44.58	58.541	43.801	80.0	79.695	0.782	['Tokenization']	True	False	False	False	139.469
45.075	66.667	46.935	83.39	82.48	0.734	['N-gram']	False	True	False	False	856.557
52.55	51.638	54.084	79.661	78.52	0.595	['Lemmatization']	False	False	True	False	137.187
44.722	58.352	41.29	80.0	80.284	0.72	['Stemming']	False	False	False	True	125.885
67.321	90.859	67.56	81.356	81.8	0.888	['N-gram', 'Lemmatization']	False	True	True	False	951.442
55.377	56.92	54.53	84.068	84.078	0.429	['N-gram', 'Stemming']	False	True	False	True	932.009
