f1-score	Precision	Recall	Accuracy	Loss	Combination	Token	Lemma	Stem	Time
57.2415	65.55575	57.11175	73.816	0.672	CompleteCitation	True	False	False	62.957
49.182	61.22724999999999	51.0595	69.993	0.738	lemma_citation	False	True	False	62.457
52.9645	58.41525	54.976	65.776	0.776	stem_citation	False	False	True	57.346
