f1-score	Precision	Recall	Accuracy	Cross-score	Loss	Combination	Token	Ngram	Lemma	Stem	Time
51.554	51.192	52.325	78.983	82.555	0.559	['Tokenization']	True	False	False	False	256.447
80.634	80.374	81.332	83.729	83.742	0.485	['N-gram']	False	True	False	False	1225.764
43.982	53.376	42.843	78.644	81.966	0.709	['Lemmatization']	False	False	True	False	211.369
43.054	56.552	42.711	78.305	79.778	0.716	['Stemming']	False	False	False	True	182.306
43.415	65.903	44.435	82.034	81.885	0.96	['N-gram', 'Lemmatization']	False	True	True	False	1643.51
44.359	65.972	46.193	82.712	81.55	0.581	['N-gram', 'Stemming']	False	True	False	True	1342.17
