f1-score	Precision	Recall	Accuracy	Cross-score	Loss	Combination	Token	Ngram	Lemma	Stem	Time
49.215	63.209	67.202	78.644	81.377	0.926	['Tokenization']	True	False	False	False	371.799
72.478	79.146	73.885	83.39	81.553	0.704	['N-gram']	False	True	False	False	2209.17
63.65	86.511	64.362	77.966	80.114	1.313	['Lemmatization']	False	False	True	False	357.14
69.469	86.198	68.468	79.322	80.368	1.015	['Stemming']	False	False	False	True	327.813
81.01	82.076	80.563	84.407	82.227	0.461	['N-gram', 'Lemmatization']	False	True	True	False	2494.852
69.985	74.36	72.603	82.712	82.644	0.771	['N-gram', 'Stemming']	False	True	False	True	2519.29
