f1-score	Precision	Recall	Accuracy	Cross-score	Loss	Combination	Token	Ngram	Lemma	Stem	Time
74.049	74.492	74.236	77.966	81.795	0.733	['Tokenization']	True	False	False	False	370.813
70.142	78.296	73.228	83.051	82.731	0.778	['N-gram']	False	True	False	False	2218.658
69.77	82.696	70.095	79.661	81.716	0.884	['Lemmatization']	False	False	True	False	371.109
62.88	59.574	76.604	78.983	79.021	0.693	['Stemming']	False	False	False	True	329.093
69.299	90.955	71.077	82.712	82.224	0.667	['N-gram', 'Lemmatization']	False	True	True	False	2572.418
69.026	74.576	70.336	82.034	83.232	0.628	['N-gram', 'Stemming']	False	True	False	True	2974.765
